Key,English
[35bd00]Green[-]
[f21b10]Red[-]
[fff700]Yellow[-]


skillPointTip,""
skillPointTipTitle,""

ttLevelUp,"You have leveled up! +1Wellness +1Max Hunger +1Max Thirst"

BUFF_________________________XML,BUFF_________________________XML

buffTraderRepAchievedName,"Reach Lv10 Trader Rep"
buffAtATraderName,"Talk to the Trader"
buffTutorialAteVeggieName,"Consume some Fiber"
buffTutorialAteFruitName,"Consume some Essential Vitamins" Medical
buffTutorialAteMeatName,"Consume some Protein"
buffCampaignYourBedName,"Sleep on your bed"
buffCampaignEscapeBaseName,"Get out the back Door"
ObjectiveBuffSDX_keyword,"-"

buffLazyTraitActiveDesc,"Ahh! Feels good to take a break for a min"
buffRestlessTraitActiveDesc,"Ahh! Feels good to get moving"


buffRadiationIconADesc,"I have been exposed to radiation and developed Radiation Poisoning. My body will not heal from this by itself, I will need to use [35bd00]Rad Pills[-] to lower my radiation and cure it. I can also take [35bd00]Potassium Iodide Tablets[-] to lessen my absorption of radiation by ½.\n\nEffects :\n-{cvar(.RadFatigueEffectDisplay:00.0)}% Fatigue Drain\n-{cvar(.RadFoodEffectDisplay:00.0)}% Food and Nutrition Absorption\n+{cvar($RadPoisoningFeverEffect:00.0)}° Player Temp"
buffRadiationIconBDesc,"My Radiation Poisoning is getting worse. My body will not heal from this by itself, I will need to use [35bd00]Rad Pills[-] to lower my radiation and cure it. I can also take [35bd00]Potassium Iodide Tablets[-] to lessen my absorption of radiation by ½.\n\nEffects :\n-{cvar(.RadFatigueEffectDisplay:00.0)}% Fatigue Drain\n-{cvar(.RadFoodEffectDisplay:00.0)}% Food and Nutrition Absorption\n+{cvar($RadPoisoningFeverEffect:00.0)}° Player Temp"
buffRadiationIconCDesc,"My Radiation Poisoning is getting worse. My body will not heal from this by itself, I will need to use [35bd00]Rad Pills[-] to lower my radiation and cure it. I can also take [35bd00]Potassium Iodide Tablets[-] to lessen my absorption of radiation by ½.\n\nEffects :\n-{cvar(.RadFatigueEffectDisplay:00.0)}% Fatigue Drain\n-{cvar(.RadFoodEffectDisplay:00.0)}% Food and Nutrition Absorption\n+{cvar($RadPoisoningFeverEffect:00.0)}° Player Temp"
buffRadiationIconDDesc,"My Radiation Poisoning is getting worse. My body will not heal from this by itself, I will need to use [35bd00]Rad Pills[-] to lower my radiation and cure it. I can also take [35bd00]Potassium Iodide Tablets[-] to lessen my absorption of radiation by ½.\n\nEffects :\n-{cvar(.RadFatigueEffectDisplay:00.0)}% Fatigue Drain\n-{cvar(.RadFoodEffectDisplay:00.0)}% Food and Nutrition Absorption\n+{cvar($RadPoisoningFeverEffect:00.0)}° Player Temp"
buffRadiationIconEDesc,"My Radiation Poisoning is getting worse. My body will not heal from this by itself, I will need to use [35bd00]Rad Pills[-] to lower my radiation and cure it. I can also take [35bd00]Potassium Iodide Tablets[-] to lessen my absorption of radiation by ½.\n\nEffects :\n-{cvar(.RadFatigueEffectDisplay:00.0)}% Fatigue Drain\n-{cvar(.RadFoodEffectDisplay:00.0)}% Food and Nutrition Absorption\n+{cvar($RadPoisoningFeverEffect:00.0)}° Player Temp"
buffRadiationHealingDesc,"The meds are working. My Radiation Poisoning is getting better. I will need to continue taking [35bd00]Rad Pills[-] to lower it enough to cure it completly. I can also take [35bd00]Potassium Iodide Tablets[-] to lessen my absorption of radiation by ½.\n\nEffects :\n-{cvar(.RadFatigueEffectDisplay:00.0)}% Fatigue Drain\n-{cvar(.RadFoodEffectDisplay:00.0)}% Food and Nutrition Absorption\n+{cvar($RadPoisoningFeverEffect:00.0)}° Player Temp"
buffRadiationNauseaADesc,"My Radiation Sickness is causing me to become Nauseous. I feel like I could puke. I could use some [35bd00]Goldenrod Tea[-] to temporarily calm my stomach but I will need to lower my Radiation Sickness to cure it\n\nEffects :\nOccasionally Puking, lowering Food and Water by 5 and all Nutrition Stats by .1"
buffRadiationNauseaBDesc,"My Radiation Sickness is causing me to become Nauseous. I’ve treated it for now but it will need treatment again soon. It won't heal completely until I lower my Radiation Sickness"
buffRadiationDizzyADesc,"My Radiation Sickness is causing me to occasionally get dizzy. I can use a [35bd00]Painkiller[-] to lessen the effect but I will need to lower my Radiation Sickness to cure it\n\nEffects :\nOccasionally Dizziness"
buffRadiationDizzyBDesc,"My Radiation Sickness is causing me to occasionally get dizzy. I’ve treated it for now but it will need treatment again soon. It won't heal completely until I lower my Radiation Sickness"
buffRadiationInfectionDesc,"My Radiation Sickness has caused a severe [f21b10]Medical Infection[-]. I can treat it with a [35bd00]Antibiotics[-] but it will not heal until I lower my Radiation Sickness\n\nEffects :\nMedical Infection severity increased every 15 min"
buffRadiationBurnADesc,"My Radiation Sickness has caused a Radiation Burn. My skin has become dark and brittle and easily bleeds when touched. I’ll need to use a [35bd00]First Aid Bandage[-] to temporarily soothe it but it will only heal after my lowering my Radiation Sickness\n\nEffects :\n-1 Wellness per min\n-1 Health per 2 min"
buffRadiationBurnTreatedDesc,"My Radiation Burn is treated but wont heal completely until I lower my Radiation Sickness\n\nEffects :\n-1 Wellness per 30 min\n-1 Health per 12 min"
buffEpinephrinInjectionDesc,"Wooooo! Lets Go! My hearts beating so fast, I feel like I could run all night.\n\nEffects :\nRemoves all Fatigue\nUnlimited Stamina\n+20% Temporary Health\n20% Faster Mobility"
buffEpinephrinInjectionWareOffDesc,"Ahhh that shots wearing off. I've never felt so much like shit. I have to find a bed and sleep as soon as possible to relieve these side effects\n\nEffects :\nPermanently High Fatigue\n-1 Stamina per Second\n-20% Health Bleed"
buffHotFoodDesc,"Mmmm! Eating hot food has warmed my body and I can feel my energy returning.\n\nEffects:\n5° Warming\n+2 Stamina per 5 sec"
buffFlashBangCoolDownDesc,"My eyes and ears still hurt from that Flashbang. I’ll need to be careful because I can't use another Flashbang until they stop hurting or I could permanently damage them"
buffFlashBangEffectDesc,"BANG!"
buffDailyRestMaxedDesc,"I have rested enough today. I cant heal by sleeping any more for now."
buffRatBiteDesc,"OUCH! That little bastered bit me. I need to use a [35bd00]First Aid Bandage[-] on this wound to heal it.\n\nEffects:\nCauses Medical Infection\n-3 Health per 10 min\n-1 Wellness per 10 min"
buffZVirusIconADesc,"I have the [f21b10]Z-Virus[-]. It will continue to get worse until it is treated with [35bd00]Antivirals[-] or [35bd00]Antiviral Depressants[-]. If it reaches 100% I will die. It's making my head feel foggy and affecting my vision occasionally. \n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer"
buffZVirusIconBDesc,"I have the [f21b10]Z-Virus[-]. It will continue to get worse until it is treated with [35bd00]Antivirals[-] or [35bd00]Antiviral Depressants[-]. If it reaches 100% I will die. It's making my head feel foggy and affecting my vision occasionally. I can feel my wellness being leached away and I are starting to feel a hunger for something I just can’t figure out.\n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer\n{cvar($ZVirusWellnessMath:0.00)} Wellness lost per 5 min"
buffZVirusIconCDesc,"I have the [f21b10]Z-Virus[-]. It will continue to get worse until it is treated with [35bd00]Antivirals[-] or [35bd00]Antiviral Depressants[-]. If it reaches 100% I will die. It's making my head so foggy you can't remember some recipes and it's affecting my vision more often. I can feel my wellness being sucked away and I are starting to feel a strong hunger but not for food.\n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer\n{cvar($ZVirusWellnessMath:0.00)} Wellness lost per 5 min\n-Many recipes are temporarily forgotten"
buffZVirusIconDDesc,"I have the [f21b10]Z-Virus[-]. It will continue to get worse until it is treated with [35bd00]Antivirals[-] or [35bd00]Antiviral Depressants[-]. If it reaches 100% I will die. It's making my head so foggy you can't remember some recipes and it's affecting my vision more often. I can feel my wellness being sucked away and I are starting to feel a strong hunger but not for food.\n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer\n{cvar($ZVirusWellnessMath:0.00)} Wellness lost per 5 min\n-Many recipes are temporarily forgotten"
buffZVirusHealingIconADesc,"My [f21b10]Z-Virus[-] infection is currently treated. My viral load will continue to lower while the medication is in effect but it will not cure the infection completely. To push the infection into remission take a [35bd00]Antiviral Depressant[-]. The infection is making my head feel foggy and affecting my vision occasionally. \n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer"
buffZVirusHealingIconBDesc,"My [f21b10]Z-Virus[-] infection is currently treated. My viral load will continue to lower while the medication is in effect but it will not cure the infection completely. To push the infection into remission take a [35bd00]Antiviral Depressant[-]. The infection is making my head feel foggy and affecting my vision occasionally. I can feel my wellness being leached away and I am starting to feel a hunger for something I just can’t figure out.\n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer\n{cvar($ZVirusWellnessMath:0.00)} Wellness lost per 10 min"
buffZVirusHealingIconCDesc,"My [f21b10]Z-Virus[-] infection is currently treated. My viral load will continue to lower while the medication is in effect but it will not cure the infection completely. To push the infection into remission take a [35bd00]Antiviral Depressant[-]. The infection is making my head so foggy I can't remember some recipes and it's affecting my vision more often. I can feel my wellness being sucked away and I am starting to feel a strong hunger but not for food.\n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer\n{cvar($ZVirusWellnessMath:0.00)} Wellness lost per 5 min\n-Many recipes are temporarily forgotten"
buffZVirusHealingIconDDesc,"My [f21b10]Z-Virus[-] infection is currently treated. My viral load will continue to lower while the medication is in effect but it will not cure the infection completely. To push the infection into remission take a [35bd00]Antiviral Depressant[-]. The infection is making my head so foggy I can't remember some recipes and it's affecting my vision more often. I can feel my wellness being sucked away and I am starting to feel a strong hunger but not for food.\n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer\n{cvar($ZVirusWellnessMath:0.00)} Wellness lost per 5 min\n-Many recipes are temporarily forgotten"
buffZVirusPausedIconADesc,"My [f21b10]Z-Virus[-] infection is currently in remission. My viral load will not increase while the medication is in effect but it will not cure the infection completely. To lower my viral load and lessen the infection's effect take a [35bd00]Antiviral[-]. The infection is making my head feel foggy and affecting my vision occasionally. \n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer"
buffZVirusPausedIconBDesc,"My [f21b10]Z-Virus[-] infection is currently in remission. My viral load will not increase while the medication is in effect but it will not cure the infection completely. To lower my viral load and lessen the infection's effect take a [35bd00]Antiviral[-]. The infection is making my head feel foggy and affecting my vision occasionally. I can feel my wellness being leached away and I am starting to feel a hunger for something I just can’t figure out.\n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer\n{cvar($ZVirusWellnessMath:0.00)} Wellness lost per 5 min"
