Key,File,Type,UsedInMainMenu,NoTranslate,english
woodDecoBlockVariantHelper,blocks,Variant,,,Wood Decor Items
metalDecoBlockVariantHelper,blocks,Variant,,,Metal Decor Items
mixedDecoBlockVariantHelper,blocks,Variant,,,Wood and Metal Decor Items
polymerDecoBlockVariantHelper,blocks,Variant,,,Plastic Decor Items
concreteDecoBlockVariantHelper,blocks,Variant,,,Concrete Decor Items
electricDecoBlockVariantHelper,blocks,Variant,,,Electric Decor Items
glassDecoBlockVariantHelper,blocks,Variant,,,Glass Decor Items
birdBathPlanterDeco,blocks,Block,,,Bird Bath Planter
decoEmberPileFire,blocks,Deco,,,Fireplace Embers 1
decoEmberPileFire2,blocks,Deco,,,Fireplace Embers 2
decoEmberPileFireDesc,blocks,Deco,,,These flaming embers lend some warmth and comfort to a cold concrete base.
cntWoodBurningStoveFire,blocks,Deco,,,Wood Burning Stove
cntWoodBurningStoveFireDesc,blocks,Deco,,,Bring the heat to your hearth with an old-fashioned wood burning stove.
modularFireWoodStackCFire,blocks,Deco,,,Firewood
decoTableSaw,blocks,Deco,,,Tablesaw
