Key,File,Type,english
steelBars,blocks,Block,Steel Bars
steelBarsCentered,blocks,Block,Steel Bars Centered
steelBarsCNR,blocks,Block,Steel Bars Corner
steelBarsDesc,blocks,Block,You can see and shoot through steel bars while offering good protection.
woodBars,blocks,Block,Wood Bars
woodBarsCentered,blocks,Block,Wood Bars Centered
woodBarsCNR,blocks,Block,Wood Bars Corner
woodBarsDesc,blocks,Block,You can see and shoot through wood bars while offering some protection.
commercialDoorVariantHelper,blocks,Block,Commercial Doors
elevatorDoorVariantHelper,blocks,Block,Elevator Doors
trailerDoorVariantHelper,blocks,Block,Trailer Doors
woodenFenceDoorVariantHelper,blocks,Block,Fence Doors
jailVariantHelper,blocks,Block,Jail Doors and Bars
exteriorHouseDoorVariantHelper,blocks,Block,House Doors
cabinetDoorVariantHelper,blocks,Block,Closet and Cabinet Doors
